first_id,first_loci_typed,first_sample_id,first_fish_table_id,first_anem_table_id,first_size,first_color,first_gen_id,first_recap,first_tag_id,first_fish_obs_time,first_fish_collector,first_fish_notes,first_dive_table_id,first_anem_obs_time,first_anem_id,first_anem_obs,first_anem_collector,first_anem_notes,first_dive_num,first_date,first_site,first_gps,first_divers,second_id,second_loci_typed,second_sample_id,second_fish_table_id,second_anem_table_id,second_size,second_color,second_gen_id,second_recap,second_tag_id,second_fish_obs_time,second_fish_collector,second_fish_notes,second_dive_table_id,second_anem_obs_time,second_anem_id,second_anem_obs,second_anem_collector,second_anem_notes,second_dive_num,second_date,second_site,second_gps,second_divers,matching_loci,mismatching_loci,pID,pIDsib,status,mismatch_prop,first_lat,first_lon,second_lat,second_lon,date_eval
L3734,1447,APCL16_658,8133,7854,5,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5343,1447,APCL16_658,8133,7854,5,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,NA,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1427,20,0,0,Fuzzy match,0.013821700069108501,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3717,1447,APCL16_675,8151,7891,5,YR,NA,NA,NA,NA,MRS,NA,332,13:49:00,2519,1070,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5360,1447,APCL16_675,8151,7891,5,YR,NA,NA,NA,NA,MRS,NA,332,13:49:00,2519,1070,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1428,19,0,0,Fuzzy match,0.013130615065653075,10.860997717825,124.72178287105,10.860997717825,124.72178287105,FAIL
L3720,1447,APCL16_672,8147,7881,4.5,YR,NA,NA,NA,NA,MRS,NA,332,13:35:00,2516,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5357,1447,APCL16_672,8147,7881,4.5,YR,NA,NA,NA,NA,MRS,NA,332,13:35:00,2516,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1429,18,0,0,Fuzzy match,0.01243953006219765,10.861055196725,124.721779874525,10.861055196725,124.721779874525,FAIL
L3741,1447,APCL16_650,8125,7853,6.7,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5337,1447,APCL16_650,8125,7853,6.7,YR,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1429,18,0,0,Fuzzy match,0.01243953006219765,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3725,1447,APCL16_667,8142,7876,4,YR,NA,NA,NA,NA,MRS,NA,332,13:22:00,2514,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5352,1447,APCL16_667,8142,7876,4,YR,NA,NA,NA,NA,MRS,NA,332,13:22:00,2514,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1430,17,0,0,Fuzzy match,0.011748445058742226,10.861055217675,124.72182605879999,10.861055217675,124.72182605879999,FAIL
L3722,1447,APCL16_670,8145,7877,5.6,YP,NA,NA,NA,NA,MRS,NA,332,13:29:00,2515,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5355,1447,APCL16_670,8145,7877,5.6,YP,NA,NA,NA,NA,MRS,NA,332,13:29:00,2515,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1432,15,0,0,Fuzzy match,0.010366275051831375,10.861072798725,124.721848040375,10.861072798725,124.721848040375,FAIL
L3716,1447,APCL16_676,8152,7901,5.1,YR,NA,NA,NA,NA,MRS,NA,332,14:02:00,2520,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5361,1447,APCL16_676,8152,7901,5.1,YR,NA,NA,NA,NA,MRS,NA,332,14:02:00,2520,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1433,14,0,0,Fuzzy match,0.009675190048375951,10.861031580725001,124.721765541475,10.861031580725001,124.721765541475,FAIL
L3719,1447,APCL16_673,8148,7882,5.1,YR,NA,NA,NA,NA,MRS,NA,332,13:40:00,2517,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5358,1447,APCL16_673,8148,7882,5.1,YR,NA,NA,NA,NA,MRS,NA,332,13:40:00,2517,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1434,13,0,0,Fuzzy match,0.008984105044920525,10.861020872825,124.72179445902499,10.861020872825,124.72179445902499,FAIL
L3728,1447,APCL16_664,8139,7874,5.4,YR,NA,NA,NA,NA,MRS,NA,332,13:09:00,2512,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5349,1447,APCL16_664,8139,7874,5.4,YR,NA,NA,NA,NA,MRS,NA,332,13:09:00,2512,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1434,13,0,0,Fuzzy match,0.008984105044920525,10.8609729493,124.7218858427,10.8609729493,124.7218858427,FAIL
L3743,1447,APCL16_648,8123,7853,7.4,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5335,1447,APCL16_648,8123,7853,7.4,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1434,13,0,0,Fuzzy match,0.008984105044920525,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3723,1447,APCL16_669,8144,7877,4.1,YR,NA,NA,NA,NA,MRS,NA,332,13:29:00,2515,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5354,1447,APCL16_669,8144,7877,4.1,YR,NA,NA,NA,NA,MRS,NA,332,13:29:00,2515,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1435,12,0,0,Fuzzy match,0.0082930200414651,10.861072798725,124.721848040375,10.861072798725,124.721848040375,FAIL
L3710,1445,APCL16_682,8159,7920,7.7,O,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5367,1445,APCL16_682,8159,7920,7.7,O,NA,NA,NA,NA,MRS,NA,332,14:28:00,2525,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1436,9,0,0,Fuzzy match,0.006228373702422145,10.8610949479,124.72169892630001,10.8610949479,124.72169892630001,FAIL
L3714,1447,APCL16_678,8155,7912,6.3,W,NA,NA,NA,NA,MRS,NA,332,14:13:00,2522,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5363,1447,APCL16_678,8155,7912,6.3,W,NA,NA,NA,NA,MRS,NA,332,14:13:00,2522,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1436,11,0,0,Fuzzy match,0.007601935038009675,10.861090421675,124.721788256425,10.861090421675,124.721788256425,FAIL
L3745,1447,APCL16_646,8121,7853,7.7,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5333,1447,APCL16_646,8121,7853,7.7,O,NA,NA,NA,NA,MRS,NA,332,12:55:00,2509,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1437,10,0,0,Fuzzy match,0.006910850034554251,10.860984746825,124.7219708981,10.860984746825,124.7219708981,FAIL
L3724,1447,APCL16_668,8143,7876,4.9,YR,NA,NA,NA,NA,MRS,NA,332,13:22:00,2514,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,L5353,1447,APCL16_668,8143,7876,4.9,YR,NA,NA,NA,NA,MRS,NA,332,13:22:00,2514,NA,MRS,NA,48,2016-06-06,N. Magbangon,4,0,1438,9,0,0,Fuzzy match,0.006219765031098825,10.861055217675,124.72182605879999,10.861055217675,124.72182605879999,FAIL
L0979,1447,APCL13_651,1740,1621,7.7,O,724,NA,NA,NA,MLP,"on sand, not even close to the reef, so couldn't tag",61,16:19:30,NA,NA,MLP,"on sand, not even close to the reef, so couldn't tag",39,2013-06-04,N. Magbangon,1,NA,L0980,1447,APCL13_651,1740,1621,7.7,O,724,NA,NA,NA,MLP,"on sand, not even close to the reef, so couldn't tag",61,16:19:30,NA,NA,MLP,"on sand, not even close to the reef, so couldn't tag",39,2013-06-04,N. Magbangon,1,NA,1442,5,0,0,Fuzzy match,0.0034554250172771253,10.86076925,124.72112875,10.86076925,124.72112875,FAIL
